????,??/?,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,???,??/?
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,4,100,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,40,4,100,,
0D8,2F40,0D9,2F40,0D8,40,0,40,40,0,0,,
0D9,F0FD,0DA,F0FD,0D9,F0FD,0,00D9,40,0,0,,
0DA,1204,0DB,1204,0DA,1204,0,00DA,00C7,0,0,,
0DB,7F0A,0DC,7F0A,0DB,000A,0,000A,00C7,1,1,,
0DC,F004,0DD,F004,0DC,F004,0,00DC,00C7,1,1,,
0DD,680,0DE,680,0DD,680,0,00DD,C700,9,1001,,
0DE,48EE,0DF,48EE,554,00F1,0,FFEE,C7F1,8,1000,,
0DF,EAED,0E0,EAED,554,C7F1,0,FFED,C7F1,8,1000,0CD,555
,                                 ,554,C7F1,,,,,,,,,
0E0,CEED,0CE,CEED,0E0,00CE,0,FFED,C7F1,8,1000,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0CF,0,0,0,0,0,0,4,100,,
0CF,E8FD,0D0,E8FD,555,0,0,FFFD,0,4,100,555,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,40,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,40,0,0,,
0D2,F0FD,0D3,F0FD,0D2,F0FD,0,00D2,40,0,0,,
0D3,1204,0D4,1204,0D3,1204,0,00D3,00CF,0,0,,
0D4,7F0A,0D5,7F0A,0D4,000A,0,000A,00CF,1,1,,
0D5,F00B,0D6,F00B,0D5,F00B,0,00D5,00CF,1,1,,
0D6,E8F6,0D7,E8F6,555,00CF,0,FFF6,00CF,1,1,555,00CF
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,1,1,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,5,101,,
0D9,F0FD,0D9,0,0,0,0,0,0,4,100,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,4,100,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,40,4,100,,
0D8,2F40,0D9,2F40,0D8,40,0,40,40,0,0,,
0D9,F0FD,0DA,F0FD,0D9,F0FD,0,00D9,40,0,0,,
0DA,1204,0DB,1204,0DA,1204,0,00DA,00C4,0,0,,
0DB,7F0A,0DC,7F0A,0DB,000A,0,000A,00C4,1,1,,
0DC,F004,0DD,F004,0DC,F004,0,00DC,00C4,1,1,,
0DD,680,0DE,680,0DD,680,0,00DD,C400,9,1001,,
0DE,48EE,0DF,48EE,555,00CF,0,FFEE,C4CF,8,1000,,
0DF,EAED,0E0,EAED,555,C4CF,0,FFED,C4CF,8,1000,0CD,556
,                                 ,555,C4CF,,,,,,,,,
0E0,CEED,0CE,CEED,0E0,00CE,0,FFED,C4CF,8,1000,,
0CE,200,0CE,0,0,0,0,0,0,4,100,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0D0,E8FD,556,0,0,FFFD,0,4,100,556,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,40,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,40,0,0,,
0D2,F0FD,0D3,F0FD,0D2,F0FD,0,00D2,40,0,0,,
0D3,1204,0D4,1204,0D3,1204,0,00D3,00CB,0,0,,
0D4,7F0A,0D5,7F0A,0D4,000A,0,000A,00CB,1,1,,
0D5,F00B,0D6,F00B,0D5,F00B,0,00D5,00CB,1,1,,
0D6,E8F6,0D7,E8F6,556,00CB,0,FFF6,00CB,1,1,556,00CB
0D7,1205,0D8,1205,0D7,1205,0,00D7,0,1,1,,
0D8,2F40,0D8,0,0,0,0,0,0,4,100,,
0D8,2F40,0D9,2F40,0D8,40,0,40,0,4,100,,
0D9,F0FD,0D7,F0FD,0D9,F0FD,0,FFFD,0,4,100,,
0D7,1205,0D8,1205,0D7,1205,0,00D7,40,4,100,,
0D8,2F40,0D9,2F40,0D8,40,0,40,40,0,0,,
0D9,F0FD,0DA,F0FD,0D9,F0FD,0,00D9,40,0,0,,
0DA,1204,0DB,1204,0DA,1204,0,00DA,00C1,0,0,,
0DB,7F0A,0DC,7F0A,0DB,000A,0,000A,00C1,1,1,,
0DC,F004,0DD,F004,0DC,F004,0,00DC,00C1,1,1,,
0DD,680,0DE,680,0DD,680,0,00DD,C100,9,1001,,
0DE,48EE,0DF,48EE,556,00CB,0,FFEE,C1CB,8,1000,,
0DF,EAED,0E0,EAED,556,C1CB,0,FFED,C1CB,8,1000,0CD,557
,                                 ,556,C1CB,,,,,,,,,
0E0,CEED,0CE,CEED,0E0,00CE,0,FFED,C1CB,8,1000,,
0CE,200,0CF,200,0CE,200,0,00CE,0,4,100,,
0CF,E8FD,0CF,0,0,0,0,0,0,4,100,,
0CF,E8FD,0D0,E8FD,557,0,0,FFFD,0,4,100,557,0
0D0,1205,0D1,1205,0D0,1205,0,00D0,40,4,100,,
0D1,2F40,0D2,2F40,0D1,40,0,40,40,0,0,,
0D2,F0FD,0D3,F0FD,0D2,F0FD,0,00D2,40,0,0,,
0D3,1204,0D4,1204,0D3,1204,0,00D3,000A,0,0,,
0D4,7F0A,0D5,7F0A,0D4,000A,0,000A,000A,5,101,,
0D5,F00B,0E1,F00B,0D5,F00B,0,000B,000A,5,101,,
0E1,100,0E2,100,0E1,100,0,00E1,000A,5,101,,
